I. Slimani,83
A. Kramarić,73
M. Brozović,68
Williams,77
Dani García,75
A. Christensen,78
J. Kimmich,70
Bruma,70
D. Berardi,72
A. Rabiot,71
R. Guerreiro,71
J. Vardy,74
H. Ziyech,70
M. Keane,82
Jorginho,65
Héctor Bellerín,74
J. Butland,95
S. Zaza,84
T. Meunier,88
Felipe Anderson,70
Rafinha,71
Nacho Fernández,75
J. Cillessen,83
Sergi Roberto,68
W. Ben Yedder,68
Lucas Pérez,73
R. Barkley,76
C. Bakambu,73
W. Zaha,66
Bartra,73
S. Aurier,76
S. Coates,92
G. Krychowiak,85
K. Kampl,67
D. Lovren,84
Y. Belhanda,75
Mário Fernandes,80
R. Rodríguez,77
J. Corona,62
Mario Gaspar,74
Marcos Alonso,84
M. Götze,75
L. Hrádecký,80
Illarramendi,75
De Marcos,78
C. Smalling,81
J. Wilshere,68
S. Rudy,74
M. Lanzini,59
K. Trapp,88
R. Boudebouz,74
Camacho,75
Paulinho,81
N. Kalinić,80
Giuliano,68
D. Perotti,70
M. Parolo,75
K. Mitroglou,89
M. Sakho,83
A. Rami,90
S. Jovetić,79
S. Coleman,67
S. Kjær,90
Adán,88
M. Valbuena,63
S. Mignolet,87
D. Astori,80
K. Mirallas,72
A. Guardado,67
Raúl García,81
M. Škrtel,81
S. Mandanda,82
T. Heaton,86
H. Ben Arfa,74
Dante,85
A. Gignac,89
Gabi,74
G. Rodríguez,79
D. Srna,72
B. Schweinsteiger,79
C. Carrasso,93
Moyá,82
W. Rooney,83
P. Mertesacker,90
T. Motta,83
Fernando Torres,78
S. Eto'o,75
S. Milinković-Savić,76
Y. Tielemans,72
Jemerson,77
A. Correa,69
N. Bentaleb,78
Alisson,91
Alex Telles,71
J. Brandt,82
K. Demirbay,72
D. Rugani,82
M. Sanson,73
Samu Castillejo,67
P. Zieliński,75
Ricardo Pereira,70
Grimaldo,69
Fred,64
J. Hector,75
E. Can,82
Gerard Moreno,75
S. Kolašinac,85
L. Paredes,75
Arrizabalaga,83
A. Pléa,79
T. Stepanenko,75
O. Shatov,73
Leo Baptistao,72
M. Nastasić,83
Denis Suárez,69
M. Batshuayi,86
J. Brooks,78
S. Vrsaljko,73
Eric Botteghin,89
L. Karius,87
T. Hazard,69
V. Germain,73
L. Kurzawa,74
F. Ghoulam,80
J. Iličić,79
K. Volland,81
Allan,74
P. Hernández,81
D. Tadić,76
L. Muriel,79
Pablo Sarabia,70
A. Oxlade-Chamberlain,70
J. Guilavogui,77
O. Özyakup,75
Y. Rakitskyi,70
P. Jones,71
Sergi Enrich,77
Neto,84
Hugo Mallo,69
D. Didavi,78
R. Soriano,76
A. Schürrle,73
M. Gonalons,76
A. Areola,94
R. Pereyra,77
K. Vogt,85
F. Orellana,64
A. Kokorin,74
Maicon,89
E. Salvio,77
D. Blind,72
S. El Shaarawy,72
M. Antonio,80
Iago Falqué,69
Iturraspe,75
S. Rondón,86
Daniel Carriço,80
M. Schmelzer,74
J. McCarthy,72
A. Dzagoev,75
Ganso,78
F. Smolov,80
D. Welbeck,73
Luiz Gustavo,78
Mikel San José,79
M. Darmian,70
R. Thomas,84
C. Benteke,83
I. Traoré,61
Sidnei,83
J. Lens,73
Eder,72
Kiko Casilla,84
Nacho Monreal,72
S. Bender,81
A. Fernández,74
M. Berg,74
I. Piatti,76
V. Birsa,81
Pedro León,73
K. Boateng,86
Marcano,77
H. Moreno,80
S. Romero,87
A. Candreva,70
D. Criscito,75
D. Wass,74
J. dos Santos,74
E. Lamela,80
